"125","20","319","576","21139","1","0","0","0","30","2","7","3","2012-09-30"
"126","20","320","397","30670","1","920","0","0","30","5","9","46","1991-01-01"
"127","20","320","431","28251","2","750","0","0","19","5","6","33","1991-01-01"
"128","20","320","431","28251","2","750","0","0","19","5","6","33","1991-01-01"
"129","20","320","384","31709","3","800","0","0","21","5","6","45","1991-01-01"
"130","20","320","661","18421","2","675","0","0","25","2","7","12","2012-02-03"
"131","20","320","655","18590","3","675","0","0","22","2","7","20","2013-02-18"
"132","20","320","424","28717","1","0","0","0","30","2","6","3","2012-09-30"
"133","20","320","575","21176","1","0","0","0","30","2","7","3","2012-09-30"
"134","20","321","519","23461","1","920","0","0","30","5","9","46","1991-01-01"
"135","20","321","431","28251","2","750","0","0","19","5","6","33","1991-01-01"
"136","20","321","431","28251","2","750","0","0","19","5","6","33","1991-01-01"
"137","20","321","425","28650","1","0","0","0","30","2","6","3","2012-09-30"
"138","20","321","576","21139","1","0","0","0","30","2","7","3","2012-09-30"
"139","20","325","284","13480","3","675","0","0","22","2","7","20","2013-02-18"
"155","20","358","185","18092","2","800","0","0","19","2","7","6","2013-01-10"
"156","20","360","228","14680","3","675","0","0","25","2","7","16","2013-02-07"
"157","20","360","224","14942","3","675","0","0","17","2","7","17","2013-02-09"
"158","20","360","198","16904","1","0","0","0","30","2","7","3","2012-09-30"
"159","20","361","226","14810","3","675","0","0","25","2","7","16","2013-02-07"
"160","20","361","221","15145","3","675","0","0","17","2","7","17","2013-02-09"
"161","20","361","228","14680","3","675","0","0","17","2","7","18","2013-02-12"
"162","20","361","227","14745","3","675","0","0","22","2","7","19","2013-02-16"
"163","20","361","229","14616","3","675","0","0","22","2","7","19","2013-02-16"
"164","20","361","196","17077","1","0","0","0","30","2","7","3","2012-09-30"
"166","21","318","509","23922","1","800","0","0","30","5","9","46","1991-01-01"
"167","21","319","520","23416","1","800","0","0","30","5","9","46","1991-01-01"
"168","21","321","369","32998","1","800","0","0","30","5","9","46","1991-01-01"
"171","21","360","168","19923","1","800","0","0","30","5","9","46","1991-01-01"
"172","21","361","168","19923","1","800","0","0","30","5","9","46","1991-01-01"
"184","23","318","350","34789","1","850","0","0","30","5","9","40","1991-01-01"
"185","23","318","290","41987","1","0","0","0","30","2","6","3","2012-09-30"
"186","23","318","409","29771","1","0","0","0","30","2","7","3","2012-09-30"
"187","23","319","297","40997","1","0","0","0","30","2","6","3","2012-09-30"
"188","23","319","421","28922","1","0","0","0","30","2","7","3","2012-09-30"
"189","23","320","297","40997","1","0","0","0","30","2","6","3","2012-09-30"
"190","23","320","421","28922","1","0","0","0","30","2","7","3","2012-09-30"
"191","23","321","297","40997","1","0","0","0","30","2","6","3","2012-09-30"
"192","23","321","421","28922","1","0","0","0","30","2","7","3","2012-09-30"
"198","23","360","161","20789","1","0","0","0","30","2","7","3","2012-09-30"
